topic,timestamp,payload
"zigbee2mqtt/bridge/request/devices/get","2025-05-01T15:01:50.573Z",""
"zigbee2mqtt/bridge/logging","2025-05-01T15:01:50.574Z","{""level"":""debug"",""message"":""z2m:mqtt: Received MQTT message on 'zigbee2mqtt/bridge/request/devices/get' with data ''""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:01:50.574Z","{""level"":""debug"",""message"":""z2m: Mensaje MQTT recibido: zigbee2mqtt/bridge/request/devices/get""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.434Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: <-- [254,27,68,129,0,0,1,0,250,203,1,1,0,116,0,210,82,223,0,0,7,24,109,10,32,0,32,31,250,203,29,142]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.435Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext [254,27,68,129,0,0,1,0,250,203,1,1,0,116,0,210,82,223,0,0,7,24,109,10,32,0,32,31,250,203,29,142]""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.435Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --> parsed 27 - 2 - 4 - 129 - [0,0,1,0,250,203,1,1,0,116,0,210,82,223,0,0,7,24,109,10,32,0,32,31,250,203,29] - 142""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.467Z","{""level"":""debug"",""message"":""zh:zstack:znp: <-- AREQ: AF - incomingMsg - {\""groupid\"":0,\""clusterid\"":1,\""srcaddr\"":52218,\""srcendpoint\"":1,\""dstendpoint\"":1,\""wasbroadcast\"":0,\""linkquality\"":116,\""securityuse\"":0,\""timestamp\"":14635730,\""transseqnumber\"":0,\""len\"":7,\""data\"":{\""type\"":\""Buffer\"",\""data\"":[24,109,10,32,0,32,31]}}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.468Z","{""level"":""debug"",""message"":""zh:controller: Received payload: clusterID=1, address=52218, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=116, frame={\""header\"":{\""frameControl\"":{\""frameType\"":0,\""manufacturerSpecific\"":false,\""direction\"":1,\""disableDefaultResponse\"":true,\""reservedBits\"":0},\""transactionSequenceNumber\"":109,\""commandIdentifier\"":10},\""payload\"":[{\""attrId\"":32,\""dataType\"":32,\""attrData\"":31}],\""command\"":{\""ID\"":10,\""name\"":\""report\"",\""parameters\"":[{\""name\"":\""attrId\"",\""type\"":33},{\""name\"":\""dataType\"",\""type\"":32},{\""name\"":\""attrData\"",\""type\"":1000}]}}""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.469Z","{""level"":""debug"",""message"":""zh:zstack:unpi:parser: --- parseNext []""}"
"zigbee2mqtt/bridge/logging","2025-05-01T15:02:34.495Z","{""level"":""debug"",""message"":""z2m: Received Zigbee message from 'Sensor-6-OLAF', type 'attributeReport', cluster 'genPowerCfg', data '{\""batteryVoltage\"":31}' from endpoint 1 with groupID 0""}"
